pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
01248cc,People,people,Leadville (Colo.),"People, Women","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor (Tabor home)","Elizabeth ""Baby Doe"" (McCourt Doe) Tabor",This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1173,cmhc_item,"/img/derivatives/iiif/images/01248cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01248cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01248cc/manifest.json,cmhc
01249cc,People,people,Leadville (Colo.),"People, Men",Horace Tabor (Tabor home),Horace Tabor,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1174,cmhc_item,"/img/derivatives/iiif/images/01249cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01249cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01249cc/manifest.json,cmhc
01250cc,Buildings & Businesses,bandb,Marble (Colo.),"Buildings, Waterfalls, Mills","Mill near Marble, Crystal River,1956 (Jimmie Joyce photo) (Tabor home)",Jimmie Joyce (Photographer),This photo is property of Lake County Civic Center Association.,1956,2021-03-30,,,Photo,Scanned Negative,1175,cmhc_item,"/img/derivatives/iiif/images/01250cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01250cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01250cc/manifest.json,cmhc
01251cc,Documents & Objects,docs,,"Mining, Objects","Mining equipment rusting away, 1953 (Jimmie Joyce photo) (Tabor home)",Jimmie Joyce (Photographer),This photo is property of Lake County Civic Center Association.,1953,2021-03-30,,,Photo,Scanned Negative,1176,cmhc_item,"/img/derivatives/iiif/images/01251cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01251cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01251cc/manifest.json,cmhc
01252cc,Outside Lake County,outside,,"Lakes, Mountains, Recreation","Mountain lake, 1956 (Jimmie Joyce photo) (Tabor home)",Jimmie Joyce (Photographer),This photo is property of Lake County Civic Center Association.,1956,2021-03-30,,,Photo,Scanned Negative,1177,cmhc_item,"/img/derivatives/iiif/images/01252cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01252cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01252cc/manifest.json,cmhc
01253cc,Outside Lake County,outside,,"Lakes, Mountains, Recreation","Boat on lake, 1955-1956 (Jimmie Joyce photo) (Tabor home)",Jimmie Joyce (Photographer),This photo is property of Lake County Civic Center Association.,1955-1956,2021-03-30,,,Photo,Scanned Negative,1178,cmhc_item,"/img/derivatives/iiif/images/01253cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01253cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01253cc/manifest.json,cmhc
01254cc,Outside Lake County,outside,,"Mountains, Houses",Mountain cabin (Jimmie Joyce photo) (Tabor home),Jimmie Joyce (Photographer),This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1179,cmhc_item,"/img/derivatives/iiif/images/01254cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01254cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01254cc/manifest.json,cmhc
00120cc,Buildings & Businesses,bandb,Leadville (Colo.),"People, Men, Buildings, Fire Department, Automobiles, Harrison Avenue","Smith and Latimer, Hose Company #3, 704 Harrison Avenue, Leadville Fire Department, possibly 1919 or 1920 (Dold photo) (Hasty Collection)","Smith, Latimer",This photo is property of Lake County Civic Center Association.,1919 or 1920,2021-01-13,39.24997,-106.292,Photo,Scanned Negative,118,cmhc_item,"/img/derivatives/iiif/images/00120cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00120cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00120cc/manifest.json,cmhc
01258cc,Railroad Images,rail,Central City (Colo.),"Colorado Central Railroad, Railroad, Locomotives","Colorado Central Railroad (C.C.R.R.), switchback near Central City (Jackson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1183,cmhc_item,"/img/derivatives/iiif/images/01258cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01258cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01258cc/manifest.json,cmhc
01259cc,Railroad Images,rail,Central City (Colo.),"Colorado Central Railroad, Railroad, Locomotives","Colorado Central Railroad (C.C.R.R.), near Fall River (Jackson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1184,cmhc_item,"/img/derivatives/iiif/images/01259cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01259cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01259cc/manifest.json,cmhc
01260cc,Railroad Images,rail,Georgetown (Colo.),"Colorado Central Railroad, Railroad, Locomotives","Colorado Central Railroad (C.C.R.R.), high bridge, Georgetown Loop (Jackson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1185,cmhc_item,"/img/derivatives/iiif/images/01260cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01260cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01260cc/manifest.json,cmhc
